word	nodeType	unit
little	ADJ	grimm
brilliant	ADJ	grimm
merry	ADJ	grimm
old	ADJ	grimm
true	ADJ	grimm
false	ADJ	grimm
sharp	ADJ	grimm
white	ADJ	grimm
dead	ADJ	grimm
old	ADJ	grimm
young	ADJ	grimm
true	ADJ	grimm
good	ADJ	grimm
faithful	ADJ	grimm
nuts	ADJ	grimm
ripe	ADJ	grimm
many	ADJ	grimm
lovely	ADJ	grimm
many	ADJ	grimm
lazy	ADJ	grimm
little	ADJ	grimm
good	ADJ	grimm
coachman	ADJ	grimm
sharp	ADJ	grimm
good	ADJ	grimm
little	ADJ	grimm
dark	ADJ	grimm
such	ADJ	grimm
dirty	ADJ	grimm
public	ADJ	grimm
few	ADJ	grimm
kind	ADJ	grimm
thin	ADJ	grimm
likely	ADJ	grimm
much	ADJ	grimm
bad	ADJ	grimm
tired	ADJ	grimm
good	ADJ	grimm
other	ADJ	grimm
unwilling	ADJ	grimm
full	ADJ	grimm
respectable	ADJ	grimm
handsome	ADJ	grimm
light	ADJ	grimm
fast	ADJ	grimm
asleep	ADJ	grimm
easy	ADJ	grimm
other	ADJ	grimm
possible	ADJ	grimm
open	ADJ	grimm
easy	ADJ	grimm
great	ADJ	grimm
great	ADJ	grimm
apish	ADJ	grimm
handsome	ADJ	grimm
red	ADJ	grimm
sure	ADJ	grimm
handsome	ADJ	grimm
dirty	ADJ	grimm
pretty	ADJ	grimm
red	ADJ	grimm
ready	ADJ	grimm
steady	ADJ	grimm
angry	ADJ	grimm
furious	ADJ	grimm
partlet	ADJ	grimm
large	ADJ	grimm
big	ADJ	grimm
great	ADJ	grimm
great	ADJ	grimm
silken	ADJ	grimm
silken	ADJ	grimm
great	ADJ	grimm
silken	ADJ	grimm
silken	ADJ	grimm
great	ADJ	grimm
dead	ADJ	grimm
